County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"King and Queen County, Virginia",VA,251.4317642,13.96843135,41.90529404,27.93686269,167.6211761,698.4215673,265.4001956,377.1476463,55.87372538,0,7159,0.855,0.189,0.787,0.787,0.123,51495,25831,1191,845,2.51,0.944,34.6,1.008333333,0.050705406,
"Lancaster County, Virginia",VA,118.4834123,0,72.91286912,0,45.5705432,984.3237331,246.0809333,665.3299307,72.91286912,18.22821728,10972,0.901,0.319,0.732,0.732,0.129,51495,33997,1445,817,2.11,0.887,26.7,0.668362157,0.059879694,9
"Lee County, Virginia",VA,62.0373051,0,20.6791017,0,41.3582034,1220.067,74.44476612,1141.486414,4.13582034,8.27164068,24179,0.746,0.111,0.719,0.719,0.282,32590,18514,898,530,2.47,0.879,29.8,1,0.04627983,14.7
"Loudoun County, Virginia",VA,87.05903691,0.518208553,29.53788752,11.91879672,45.08414411,685.8490199,50.7844382,599.8264001,35.23818161,8.550441125,385945,0.935,0.598,0.779,0.779,0.03,129588,50456,2664,1764,3.07,0.865,33.7,1.188382001,0.069385534,6.6
"Louisa County, Virginia",VA,161.7663753,5.676013168,31.21807243,11.35202634,113.5202634,1007.492337,110.6822568,831.5359292,65.27415144,5.676013168,35236,0.846,0.232,0.797,0.797,0.108,56946,30237,1424,932,2.58,0.874,36.3,1.191054666,0.061215802,11.5
"Lunenburg County, Virginia",VA,40.73983541,0,16.29593416,0,24.44390125,439.9902224,130.3674733,268.8829137,40.73983541,8.147967082,12273,0.763,0.106,0.72,0.72,0.205,39537,18555,987,676,2.55,0.94,29.1,1.059259259,0.046606372,7.4
"Madison County, Virginia",VA,84.11072029,0,22.93928735,7.646429118,53.52500382,756.9964826,61.17143294,634.6536168,61.17143294,0,13078,0.87,0.269,0.734,0.734,0.113,52287,29705,1524,742,2.52,0.867,30.5,0.773488711,0.081205077,9.7
"Mathews County, Virginia",VA,45.54771123,11.38692781,0,0,34.16078342,831.2457299,273.2862674,523.7986791,34.16078342,0,8782,0.914,0.269,0.862,0.862,0.097,63622,35252,1204,924,2.32,0.886,32.5,0.643661972,0.05203826,4.1
"Mecklenburg County, Virginia",VA,103.5866891,6.474168069,35.60792438,12.94833614,48.55626052,708.9214036,271.9150589,394.9242522,42.08209245,3.237084035,30892,0.816,0.182,0.722,0.722,0.175,41126,22970,1025,690,2.54,0.925,24.7,0.840764331,0.042729509,15.7
"Middlesex County, Virginia",VA,120.6160698,0,74.22527371,9.278159213,37.11263685,1150.491742,213.3976619,844.3124884,92.78159213,18.55631843,10778,0.881,0.221,0.809,0.809,0.136,50483,29871,1564,793,2.28,0.899,31,1.02349486,0.06466877,6.4
"Montgomery County, Maryland",MD,167.5507227,1.341172165,31.70914191,63.13088978,71.3695188,1443.292846,177.7053119,1185.404598,80.18293588,5.939476732,1043863,0.911,0.583,0.656,0.656,0.07,103178,51162,2460,1693,2.79,0.854,34.7,1.199465165,0.064883035,7
"Montgomery County, Virginia",VA,45.63801951,1.014178211,13.18431675,2.028356423,29.41116813,307.2959981,63.89322732,215.0057808,28.39698992,2.028356423,98602,0.92,0.463,0.549,0.549,0.23,53424,28277,1400,936,2.49,0.738,18.7,1.688818193,0.145362163,8.1
"Nelson County, Virginia",VA,161.4096442,6.725401843,47.0778129,6.725401843,100.8810276,1062.613491,201.7620553,800.3228193,60.52861658,20.17620553,14869,0.857,0.308,0.718,0.718,0.132,53834,33597,1366,688,2.26,0.918,31.2,1.20355412,0.050104244,4
"New Kent County, Virginia",VA,61.47444082,0,28.37281884,0,33.10162198,1253.132832,212.7961413,983.5910531,56.74563768,9.45760628,21147,0.926,0.269,0.818,0.818,0.055,78429,36768,1621,882,2.64,0.863,33.4,1.979824561,0.106729087,7.5
"Northampton County, Virginia",VA,65.90328693,24.7137326,0,16.47582173,24.7137326,733.1740671,255.3752368,444.8471868,32.95164346,0,12139,0.811,0.232,0.646,0.646,0.186,41468,24835,1200,713,2.26,0.939,20.3,0.521518987,0.033940193,11.4
"Northumberland County, Virginia",VA,180.0032728,0,49.09180167,16.36393389,114.5475372,826.3786614,278.1868761,523.6458845,24.54590083,8.181966945,12222,0.907,0.264,0.852,0.852,0.144,56677,33364,1427,754,2.12,0.905,27.5,2.402135231,0.055228277,7.9
